Kabupaten/Kota,2018,2019,2020,2021,2022,2023
Poso,67,14,32,20,62.9,9.18
Donggala,17,19,17,31,13.36,31.32
Toli-Toli,32,20,45,24,18.33,16.34
Buol,9,3,14,11,20.45,16.29
Parigi Moutong,6,-,24,22,20.45,30.75
Tojo Una-Una,19,26,31,32,76.08,22.25
Sigi,20,12,21,13,21.25,27.32
Banggai Laut,78,26,13,53,39.5,102.97
Morowali Utara,20,32,23,90,19.66,78.22
Kota Palu,75,72,88,65,108.25,165.8
Kepulauan Selayar,79,164,114,236,276.43,261.45
Bulukumba,90,86,23,23,113.74,128.43
Bantaeng,65,78,120,123,67.81,58.43
Jeneponto,61,67,45,70,68.28,53.6
Takalar,67,58,85,121,66.93,92.46
Gowa,80,77,123,82,103.35,80.65
Sinjai,67,56,127,161,82.51,104.82
Maros,105,116,151,134,155.13,146.93
Pangkajene dan Kepulauan,93,96,137,206,159.89,141.1
Barru,37,45,26,62,84.57,146.23
Bone,63,64,81,120,157.03,93.56
Soppeng,79,84,53,133,143.28,126.35
Wajo,93,132,110,105,131.59,164.43
Sidenreng Rappang,28,52,72,86,92.56,70.21
Pinrang,24,33,60,44,22.42,105.63
Enrekang,20,34,40,31,58.2,136.05
Luwu,70,23,66,42,45.99,44.09
Tana Toraja,3,3,9,28,9.13,10.37
Luwu Utara,31,56,27,28,46.8,47.96
Luwu Timur,108,99,79,45,83.92,56.31
Toraja Utara,7,29,29,13,21.35,23.77
Kota Makasar,245,159,209,282,273.96,235.18
Kota Parepare,102,113,143,260,164.95,160.76
Kota Palopo,122,104,74,104,99.73,140.43
Buton,3,45,73,47,40.6,54.89
Muna,20,28,19,32,30.37,39.05
Konawe,55,32,40,29,47.49,81.99
Kolaka,72,88,106,77,65.52,101.15
Konawe Selatan,25,29,33,15,13.47,16.52
Bombana,145,108,96,129,110.9,129.93
Wakatobi,92,76,171,159,221.79,196.69
Kolaka Utara,53,72,57,148,143.93,55.74
Buton Utara,46,43,63,89,41.62,97.01
Konawe Utara,44,98,80,105,129.08,136.47
Kolaka Timur,28,35,63,23,10.84,8.95
Konawe Kepulauan,110,43,33,69,74.91,115.89
Muna Barat,-,13,23,34,21.31,11.82
Buton Tengah,219,23,7,57,68.77,91.51
Buton Selatan,11,26,69,16,48.29,46.4
Kota Kendari,157,154,83,90,189.56,189.05
Kota Baubau,114,91,113,170,156.74,98.17
Boalemo,46,4,4,4,17.24,13.07
Gorontalo,13,13,18,29,13.37,56.66
Pohuwato,1,8,6,4,16.94,5.4
Bone Bolango,16,11,26,23,16.5,16.6
Gorontalo Utara,-,1,7,2,7.75,5.8
Kota Gorontalo,50,43,16,37,50.12,73.28
Majene,105,100,122,113,53.73,28.74
Polewali Mandar,25,31,26,53,38.43,32.08
Mamasa,5,11,2,17,5.71,24.28
Mamuju,42,24,78,63,38.66,52.54
Mamuju Utara,43,40,48,68,28.46,24.54
Mamuju Tengah,29,29,45,55,48.29,26.01
Maluku Tenggara Barat,13,36,55,58,13.65,58.49
Maluku Tenggara,53,50,69,56,63.49,67.68
Maluku Tengah,24,11,53,66,46.29,38.94
Buru,54,29,62,52,31.53,61.05
Kepulauan Aru,49,46,62,129,17.03,61.49
Seram Bagian Barat,12,11,29,30,31.41,18.27
Seram Bagian Timur,43,48,35,42,99.2,110.56
Maluku Barat Daya,108,42,41,45,62.09,92.4
Buru Selatan,10,46,45,32,25.18,110.97
Kota Ambon,156,57,51,103,114.14,86.26
Kota Tual,61,61,27,38,90.61,67.68
Halmahera Barat,7,53,20,40,28.4,27.97
Halmahera Tengah,69,91,68,45,48.9,125.29
Kepulauan Sula,22,18,8,9,34.58,29.71
Halmahera Selatan,71,54,66,75,34.42,23.62
Halmahera Utara,75,17,17,19,39.35,22.82
Halmahera Timur,21,9,19,20,52.74,42.04
Pulau Morotai,12,23,15,87,49.22,138.96
Pulau Taliabu,53,26,28,43,78.83,121.95
Kota Ternate,112,34,24,71,60.88,114.25
Kota Tidore Kepulauan,29,32,30,85,44.09,119.37
Fakfak,39,47,100,187,232.02,89.45
Kaimana,212,85,164,133,199.89,75.97
Teluk Wondama,113,69,117,91,72.37,74.58
Teluk Bintuni,187,93,93,69,166.52,180.41
Manokwari,30,51,38,67,38.33,106.37
Sorong Selatan,161,47,58,5,12.3,70.15
Sorong,49,29,42,38,29.12,81.29
Raja Ampat,250,141,139,283,136.45,98.2
Tambrauw,9,16,6,52,103.48,13.85
Maybrat,37,45,126,24,14.39,13.32
Manokwari Selatan,17,55,29,49,21.24,45.24
Pegunungan Arfak,1,7,45,11,42.26,23.15
Kota Sorong,177,143,141,217,149.6,223.17
Merauke,28,30,79,90,186.78,60.28
Jayawijaya,2,117,16,161,125.29,43.55
Jayapura,49,57,24,114,121.08,119.42
Nabire,128,123,165,139,103.16,153.13
Kepulauan Yapen,48,36,114,116,43.92,77.98
Biak Numfor,113,47,73,65,30.94,60.16
Paniai,21,-,-,-,-,-
Puncak Jaya,11,9,23,33,18.19,39.49
Mimika,203,240,87,129,136.7,73.52
Boven Digoel,94,62,190,21,27.96,38.47
Mappi,49,122,5,93,38.49,103.58
Asmat,41,10,70,48,65.78,29.54
Yahukimo,-,-,6,1,2.11,-
Pegunungan Bintang,95,98,104,34,-,6.73
Tolikara,4,-,101,-,-,5.31
Sarmi,113,214,54,383,199.22,30.48
Keerom,13,57,9,64,11.98,12.76
Waropen,318,133,80,9,149.9,56.17
Supiori,41,28,70,27,104.2,105.12
Mamberamo Raya,1,30,32,50,115.18,13.41
Nduga,-,22,4,53,36.45,14.76
Lanny Jaya,-,1,3,-,0.31,1.48
Mamberamo Tengah,-,5,5,3,4.92,14.24
Yalimo,-,-,115,5,18.25,55.04
Puncak,-,-,-,-,-,-
Dogiyai,-,44,11,3,-,104.8
Intan Jaya,-,-,-,-,-,-
Deiyai,2,-,130,-,-,-
Kota Jayapura,139,77,84,139,204.65,111.81
