Kabupaten/Kota,2018,2019,2020,2021,2022,2023
Melawi,419,412,379,401,454.67,409.74
Kayong Utara,189,144,132,159,216.39,160.08
Kubu Raya,120,124,127,113,105.36,106.54
Kota Pontianak,205,159,193,197,216.32,195.87
Kota Singkawang,436,441,601,538,469.23,538.01
Kotawaringin Barat,275,340,308,326,396.23,419.39
Kotawaringin Timur,150,129,163,263,282.93,214.65
Kapuas,114,159,172,222,198.26,214.38
Barito Selatan,227,227,264,231,225.95,280.05
Barito Utara,111,103,112,131,152.29,259.47
Sukamara,373,285,309,327,389.37,411.31
Lamandau,387,457,497,484,643.57,529.94
Seruyan,337,266,292,423,535.32,481.82
Katingan,212,373,313,374,332.69,330.23
Pulang Pisau,158,226,197,205,232.86,216.92
Gunung Mas,293,310,256,278,347.08,303.24
Barito Timur,220,193,209,301,249.2,168.22
Murung Raya,178,136,95,194,338.73,249.79
Kota Palangka Raya,191,167,185,201,233.93,211.57
Tanah Laut,152,132,145,201,186.64,202.62
Kota Baru,123,82,79,116,91.68,117.5
Banjar,155,121,142,149,205.53,157.96
Barito Kuala,119,115,130,131,152.2,112.81
Tapin,135,123,127,183,163.28,220.59
Hulu Sungai Selatan,60,73,81,104,92.18,116.61
Hulu Sungai Tengah,138,183,122,170,225.3,171.9
Hulu Sungai Utara,79,70,81,117,78.32,120.53
Tabalong,117,133,105,126,224.54,131.97
Tanah Bumbu,135,156,124,134,176.58,179.54
Balangan,148,139,145,170,194.66,153.73
Kota Banjarmasin,128,114,126,127,142.19,146.3
Kota Banjar Baru,132,154,174,139,211.43,190.77
Paser,140,89,175,220,141.2,151.21
Kutai Barat,144,124,170,164,127.96,164.26
Kutai Kartanegara,175,152,228,256,207.94,294.96
Kutai Timur,251,228,248,325,212.47,323.87
Berau,159,167,231,160,189.26,241.83
Penajam Paser Utara,160,146,134,168,109.69,152.43
Mahakam Ulu,75,138,179,117,142.9,210.01
Kota Balikpapan,186,106,114,139,180.86,155.32
Kota Samarinda,145,183,220,152,196.91,187.81
Kota Bontang,193,202,150,215,157.31,185.45
Malinau,83,59,109,88,97.5,134.82
Bulungan,101,169,150,109,203.04,155.15
Tana Tidung,95,86,64,155,78.87,79.33
Nunukan,70,98,75,40,114.04,65.24
Kota Tarakan,99,100,116,143,112.75,171.57
Bolaang Mongondow,24,16,12,32,17.17,10.04
Minahasa,12,13,9,11,36.39,29.17
Kepulauan Sangihe,22,12,14,10,7.76,8.56
Kepulauan Talaud,10,10,4,7,6.4,18.03
Minahasa Selatan,3,6,8,6,32.94,3.72
Minahasa Utara,29,15,32,16,69.56,23.2
Bolaang Mongondow Utara,16,30,22,25,38.32,29.58
Siau Tagulandang Biaro,12,10,14,11,18.56,31.25
Minahasa Tenggara,3,13,2,2,5.3,4.06
Bolaang Mongondow Selatan,4,8,5,5,13.75,9.78
Bolaang Mongondow Timur,28,21,22,28,45.26,25.3
Kota Manado,25,29,17,23,18.58,23.42
Kota Bitung,23,18,18,14,39.73,42.92
Kota Tomohon,11,6,3,13,35.69,32.52
Kota Kotamobagu,21,5,10,15,14.27,16.46
Banggai Kepulauan,9,6,21,28,4.11,13.07
Banggai,66,67,41,66,58.61,92.99
Morowali,66,79,47,78,33.62,76.97
Poso,72,44,60,81,76.47,54.46
Donggala,44,43,48,43,61.57,87.33
Toli-Toli,50,59,46,52,63.69,68.74
Buol,31,39,29,37,47.05,18.55
Parigi Moutong,37,45,45,37,63.05,58.48
Tojo Una-Una,34,37,38,60,41.92,39.59
Sigi,39,27,34,61,57.36,73.62
Banggai Laut,12,23,15,47,24.07,9.49
Morowali Utara,69,77,68,138,77.65,91.87
Kota Palu,59,53,64,39,61.2,71.65
Kepulauan Selayar,24,32,92,41,58.87,94.58
Bulukumba,84,62,66,32,53.12,59.82
Bantaeng,65,72,79,96,79.11,107.56
Jeneponto,73,36,49,40,52.13,84.07
Takalar,50,73,52,86,58.61,45.71
Gowa,55,50,79,86,77.81,93.74
Sinjai,34,48,54,68,44.28,57.12
Maros,79,60,69,87,123.27,113.65
Pangkajene dan Kepulauan,72,49,57,96,117.83,110.21
Barru,61,23,73,50,106.06,90.42
Bone,34,47,41,60,73.13,66.9
Soppeng,80,75,72,96,57.54,94.51
Wajo,108,117,116,134,111.29,120.61
Sidenreng Rappang,49,76,60,66,68.97,84.37
Pinrang,68,49,65,57,55.38,43.22
Enrekang,40,22,28,36,24.7,26.07
Luwu,34,41,50,34,67.07,42.19
Tana Toraja,71,60,47,42,60.12,88.66
Luwu Utara,62,68,58,56,59.24,78.23
Luwu Timur,107,70,107,102,101.45,100.2
Toraja Utara,65,36,33,39,49.86,67.7
