Kabupaten/Kota,2018,2019,2020,2021,2022,2023
Takalar,10,13,13,14,23.6,7.69
Gowa,25,27,50,32,29.35,41.16
Sinjai,25,22,40,54,29.38,28.18
Maros,34,34,33,34,58,61.5
Pangkajene dan Kepulauan,38,39,52,32,47.18,96.69
Barru,51,6,23,24,82.34,43.73
Bone,6,8,12,11,17.06,6.01
Soppeng,7,9,13,16,14.09,23.71
Wajo,20,11,21,27,14.38,15.76
Sidenreng Rappang,5,19,7,22,11.27,9.13
Pinrang,6,10,10,6,8.18,14.64
Enrekang,18,7,14,25,11.59,20.85
Luwu,16,17,24,11,27.23,16.85
Tana Toraja,18,14,11,23,5.42,16.79
Luwu Utara,35,31,40,21,35.72,46.97
Luwu Timur,33,41,57,59,50.35,36.39
Toraja Utara,15,14,13,16,7.5,21.32
Kota Makasar,68,50,71,81,92.76,71.43
Kota Parepare,20,12,20,28,41.64,42.57
Kota Palopo,53,13,16,29,22.61,30.55
Buton,17,50,34,43,35.55,67.56
Muna,15,21,6,31,17.5,19.27
Konawe,30,30,32,44,21.89,33.77
Kolaka,23,27,55,53,39.93,28.9
Konawe Selatan,67,78,61,105,74.91,83.72
Bombana,17,27,24,45,39.63,49.78
Wakatobi,87,41,64,102,62.82,114.29
Kolaka Utara,7,24,16,19,4.49,20.16
Buton Utara,37,25,24,68,31.09,39.97
Konawe Utara,15,18,16,24,48,30.94
Kolaka Timur,40,23,23,137,63.17,59.84
Konawe Kepulauan,3,13,8,17,3.03,3.82
Muna Barat,30,16,26,29,21.4,19.64
Buton Tengah,67,28,14,6,26.29,28.62
Buton Selatan,7,23,13,13,10.17,12.08
Kota Kendari,44,40,40,47,83.84,68.96
Kota Baubau,33,22,30,58,59.01,24.45
Boalemo,35,58,49,61,52.54,90.94
Gorontalo,24,38,34,44,42.41,29.67
Pohuwato,74,51,42,80,42.46,32.39
Bone Bolango,37,28,43,34,48.78,32.25
Gorontalo Utara,28,21,22,89,52.24,71.32
Kota Gorontalo,68,26,22,63,89.14,77.8
Majene,5,13,14,17,2.14,16.49
Polewali Mandar,23,31,22,21,20.85,31.07
Mamasa,10,20,22,20,19.2,31.58
Mamuju,29,22,54,43,34.76,34.85
Mamuju Utara,112,75,62,113,89.18,56.02
Mamuju Tengah,55,57,58,65,54.88,48.71
Maluku Tenggara Barat,13,64,53,94,118.59,106.87
Maluku Tenggara,47,13,22,42,60.37,82.4
Maluku Tengah,72,61,89,108,162.77,201.81
Buru,165,93,82,144,216.92,87.17
Kepulauan Aru,35,71,125,79,86.19,80.46
Seram Bagian Barat,66,55,67,70,153.13,162.72
Seram Bagian Timur,65,96,95,85,173.4,151.57
Maluku Barat Daya,125,155,127,131,68.55,112.32
Buru Selatan,95,85,75,91,108.55,106.53
Kota Ambon,136,80,93,75,258.82,78.87
Kota Tual,35,46,30,31,32.35,42.79
Halmahera Barat,33,27,27,33,35.04,30.37
Halmahera Tengah,30,67,120,75,88.65,95.63
Kepulauan Sula,27,25,21,9,15.3,30.24
Halmahera Selatan,113,71,32,102,168.46,122.75
Halmahera Utara,25,26,40,86,61.25,34.55
Halmahera Timur,55,36,66,52,58.09,72.54
Pulau Morotai,23,75,12,39,45.66,94.74
Pulau Taliabu,2,18,59,3,25.22,64.86
Kota Ternate,45,23,35,59,66.08,64.85
Kota Tidore Kepulauan,116,48,66,104,128.58,128.16
Fakfak,86,123,193,154,274.14,158.41
Kaimana,209,76,86,139,101.39,120.45
Teluk Wondama,66,150,159,72,47.81,73.02
Teluk Bintuni,180,170,128,142,158.17,150.91
Manokwari,135,147,69,129,206.01,156.08
Sorong Selatan,170,124,78,36,38.73,14.88
Sorong,127,179,189,205,255.06,260.9
