Seram Bagian Timur,223,298,175,200,238.77,192.55
Maluku Barat Daya,28,83,60,118,23.16,53.94
Buru Selatan,42,88,113,85,113.32,186.53
Kota Ambon,137,60,66,120,158.92,84.89
Kota Tual,73,44,65,51,73.96,115.07
Halmahera Barat,29,56,85,82,57.86,99.01
Halmahera Tengah,193,200,212,121,194.44,291.57
Kepulauan Sula,35,103,61,98,74.05,95.74
Halmahera Selatan,78,84,44,51,78.26,47.93
Halmahera Utara,84,19,39,37,77.81,67.22
Halmahera Timur,28,41,37,46,104.71,96.66
Pulau Morotai,39,27,35,97,42.97,274.04
Pulau Taliabu,80,59,56,42,73.07,162.13
Kota Ternate,178,90,113,126,110.91,241.8
Kota Tidore Kepulauan,119,67,68,142,103.03,160.53
Fakfak,289,410,485,533,622.28,460.56
Kaimana,401,274,455,353,410.5,317.12
Teluk Wondama,189,121,117,73,124.3,210.04
Teluk Bintuni,250,175,209,253,333.64,401.28
Manokwari,99,179,123,85,69.64,160.93
Sorong Selatan,223,318,247,47,62.68,78.72
Sorong,116,184,144,230,261.43,226.01
Raja Ampat,415,415,374,447,441.57,291.31
Tambrauw,68,127,172,146,167.23,45.14
Maybrat,191,396,349,250,160.99,354.83
Manokwari Selatan,39,57,48,177,23.19,129.12
Pegunungan Arfak,14,10,3,30,120.58,11.77
Kota Sorong,355,218,173,368,348.98,338.86
Merauke,69,94,116,158,225.99,89.1
Jayawijaya,-,591,30,152,80.57,203.13
Jayapura,124,116,105,231,101.18,160.73
Nabire,137,170,202,293,203.57,231.49
Kepulauan Yapen,89,115,161,210,134.35,128.92
Biak Numfor,100,75,135,98,180.76,132.67
Paniai,5,-,13,-,-,-
Puncak Jaya,75,16,-,28,39.3,201.86
Mimika,230,132,69,158,213.33,136.5
Boven Digoel,113,76,87,52,25.4,70.47
Mappi,56,26,28,79,29.49,81.61
Asmat,55,11,9,142,212.5,84.71
Yahukimo,14,22,-,29,29.26,6.69
Pegunungan Bintang,90,94,118,7,14.92,3.05
Tolikara,16,2,85,-,0.42,-
Sarmi,77,119,86,45,42.48,102.82
Keerom,74,82,68,58,59.41,54.2
Waropen,398,58,137,90,169.86,106.11
Supiori,83,67,44,226,302.24,196.67
Mamberamo Raya,62,7,33,189,27.09,22.88
Nduga,-,-,9,63,69.31,-
Lanny Jaya,2,2,23,71,71.75,126.77
Mamberamo Tengah,-,21,-,-,-,-
Yalimo,27,-,108,-,0.03,2.47
Puncak,-,-,-,-,-,-
Dogiyai,-,22,11,20,17.76,33.56
Intan Jaya,58,-,-,-,-,-
Deiyai,-,-,58,-,-,-
Kota Jayapura,240,250,304,200,349.44,308.5
